timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
0,0.0,0.0,0.7853981633974483,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.0
1,0.020000000000000004,0.020000000000000004,0.7853231571470295,0.01999966666833333,0.01999866669333308,0.7853231571470295,3.333316666749575e-07,1.3333066669236893e-06,0.0,1.3743422674397607e-06
2,0.039998819356608054,0.03999581950870429,0.785097907719183,0.03999733338666616,0.03998933418663416,0.7850980633706443,1.4859699418931505e-06,6.48532207012803e-06,-1.5565146127549667e-07,6.655203708294499e-06
3,0.059993958498434016,0.059978954946219826,0.7847217536776666,0.05999100040499132,0.0599640064794446,0.7847226568420766,2.9580934426953753e-06,1.4948466775223379e-05,-9.031644100376823e-07,1.5265080468089034e-05
4,0.07998303588536754,0.07994100899541234,0.7841939699981209,0.07997866837326832,0.07991469396917268,0.7841965616812204,4.367512099215376e-06,2.6315026239662198e-05,-2.591683099573139e-06,2.6800608000930046e-05
5,0.09996376287949969,0.09987367252489919,0.7835137523426793,0.09995833854135666,0.09983341664682815,0.7835192505983565,5.4243381430313375e-06,4.025587807103548e-05,-5.498255677194308e-06,4.099012050545618e-05
6,0.10313486962178295,0.10303285039475965,0.7833240372562943,0.11992801295888919,0.11971220728891936,0.7826900438339384,-0.016793143337106242,-0.01667935689415971,0.0006339934223559274,0.023677258228159345
7,0.1066348951728337,0.10651838698797915,0.7831059766674834,0.13988569467506554,0.1395431146442365,0.7817081077917023,-0.03325079950223184,-0.033024727656257344,0.001397868875781083,0.046884990580157604
8,0.11045612023804595,0.11032213416239704,0.7828577790214754,0.1598293879383454,0.15931820661424598,0.7805724533623122,-0.04937326770029944,-0.048996072451848935,0.002285325659163173,0.06959567078835215
9,0.1145909181842678,0.11443597734449593,0.7825776765339804,0.17975709839602208,0.17902957342582415,0.7792819339341677,-0.06516618021175428,-0.06459359608132823,0.00329574259981269,0.09181408180335322
10,0.11903175523333753,0.11885183413868643,0.7822639178128574,0.1996668332936563,0.19866933079506124,0.7778352430874435,-0.08063507806031878,-0.07981749665637482,0.0044286747254139724,0.11354497675418154
11,0.12377119059336704,0.12356165311804616,0.7819147627532103,0.21955660167434962,0.21822962308086932,0.7762309119668949,-0.09578541108098258,-0.09466796996282316,0.005683850786315392,0.13479308466162465
12,0.1288018765325615,0.12855741278887708,0.781528478773469,0.23942441457783872,0.23770262642713458,0.7744673063284713,-0.11062253804527722,-0.1091452136382575,0.00706117244499771,0.1555631181868558
13,0.13411655839958464,0.13383112072217618,0.7811033378737086,0.2592682852393897,0.2570805518921551,0.7725426232543283,-0.12515172683980508,-0.12324943116997894,0.008560714619380239,0.17585978178510012
14,0.13970807459395437,0.13937481284560338,0.7806376142133923,0.279086229288473,0.27635564856411376,0.7704548875304338,-0.1393781546945186,-0.13698083571851039,0.010182726682958498,0.195687780106195
15,0.14556935648958466,0.1451805528898782,0.780129582024371,0.29887626494719843,0.29552020666133955,0.7682019476806334,-0.15330690845761377,-0.15033965377146136,0.011927634343737559,0.2150518266325398
16,0.15169342831431817,0.15124043198379722,0.7795775137430626,0.31863641322849195,0.31456656061611776,0.765781471650788,-0.16694298491417378,-0.16332612863232054,0.013796042092274585,0.23395665257369191
17,0.1580734069880892,0.157546568392273,0.7789796782863173,0.33836469813399206,0.33348709214081446,0.7631909421364422,-0.18029129114590287,-0.17594052374854147,0.015788736149875082,0.25240701604586624
18,0.16470250192219746,0.16409110739196558,0.7783343394204604,0.35805914685164836,0.35227423327509,0.760427651547437,-0.1933566449294509,-0.1881831258831244,0.017906687873023408,0.27040771156921445
19,0.1715740147820468,0.17086622127922893,0.777639754188843,0.37771778995300115,0.3709204694129827,0.7574886966029721,-0.20614377517095434,-0.20005424813375375,0.02015105758587088,0.28796357991927307
20,0.17868133921560192,0.17786410950522663,0.7768941713735291,0.39733866159012243,0.38941834230865047,0.7543709725508718,-0.2186573223745205,-0.21155423280342384,0.022523198822657298,0.3050795183722519
21,0.18581086269215757,0.18487339377498443,0.776095829973596,0.4169197996921991,0.40776045305957015,0.7510711670052485,-0.23110893700004154,-0.22288705928458571,0.0250246629683476,0.32205002051622195
